texto,categoria
El documento legal número 49 aborda el arbitraje internacional y analiza su aplicación en contextos actuales.,Legal
El documento legal número 50 aborda los procedimientos judiciales y analiza su aplicación en contextos actuales.,Legal
El documento educativo número 1 presenta un estudio sobre la planificación curricular y su impacto en el aprendizaje.,Educativo
El documento educativo número 2 presenta un estudio sobre la gamificación en clase y su impacto en el aprendizaje.,Educativo
El documento educativo número 3 presenta un estudio sobre la integración de TIC y su impacto en el aprendizaje.,Educativo
El documento educativo número 4 presenta un estudio sobre la enseñanza de múltiples idiomas y su impacto en el aprendizaje.,Educativo
El documento educativo número 5 presenta un estudio sobre el aprendizaje basado en proyectos y su impacto en el aprendizaje.,Educativo
El documento educativo número 6 presenta un estudio sobre la gamificación en clase y su impacto en el aprendizaje.,Educativo
El documento educativo número 7 presenta un estudio sobre la evaluación formativa y su impacto en el aprendizaje.,Educativo
El documento educativo número 8 presenta un estudio sobre las prácticas de laboratorio y su impacto en el aprendizaje.,Educativo
El documento educativo número 9 presenta un estudio sobre la evaluación formativa y su impacto en el aprendizaje.,Educativo
El documento educativo número 10 presenta un estudio sobre la alfabetización científica y su impacto en el aprendizaje.,Educativo
El documento educativo número 11 presenta un estudio sobre la tutoría entre pares y su impacto en el aprendizaje.,Educativo
El documento educativo número 12 presenta un estudio sobre la gestión de aula y su impacto en el aprendizaje.,Educativo
El documento educativo número 13 presenta un estudio sobre las prácticas de laboratorio y su impacto en el aprendizaje.,Educativo
El documento educativo número 14 presenta un estudio sobre la integración de TIC y su impacto en el aprendizaje.,Educativo
El documento educativo número 15 presenta un estudio sobre los recursos didácticos digitales y su impacto en el aprendizaje.,Educativo
El documento educativo número 16 presenta un estudio sobre las técnicas de estudio visual y su impacto en el aprendizaje.,Educativo
El documento educativo número 17 presenta un estudio sobre los recursos didácticos digitales y su impacto en el aprendizaje.,Educativo
El documento educativo número 18 presenta un estudio sobre la planificación curricular y su impacto en el aprendizaje.,Educativo
El documento educativo número 19 presenta un estudio sobre la retroalimentación efectiva y su impacto en el aprendizaje.,Educativo
El documento educativo número 20 presenta un estudio sobre la alfabetización científica y su impacto en el aprendizaje.,Educativo
El documento educativo número 21 presenta un estudio sobre las estrategias de pensamiento crítico y su impacto en el aprendizaje.,Educativo
El documento educativo número 22 presenta un estudio sobre las actividades de lectoescritura y su impacto en el aprendizaje.,Educativo
El documento educativo número 23 presenta un estudio sobre el aprendizaje basado en proyectos y su impacto en el aprendizaje.,Educativo
El documento educativo número 24 presenta un estudio sobre el desarrollo de competencias socioemocionales y su impacto en el aprendizaje.,Educativo
El documento educativo número 25 presenta un estudio sobre los métodos de enseñanza colaborativa y su impacto en el aprendizaje.,Educativo
El documento educativo número 26 presenta un estudio sobre la alfabetización científica y su impacto en el aprendizaje.,Educativo
El documento educativo número 27 presenta un estudio sobre la educación a distancia y su impacto en el aprendizaje.,Educativo
El documento educativo número 28 presenta un estudio sobre la gamificación en clase y su impacto en el aprendizaje.,Educativo
El documento educativo número 29 presenta un estudio sobre los proyectos interdisciplinarios y su impacto en el aprendizaje.,Educativo
El documento educativo número 30 presenta un estudio sobre el aprendizaje basado en proyectos y su impacto en el aprendizaje.,Educativo
El documento educativo número 31 presenta un estudio sobre los proyectos interdisciplinarios y su impacto en el aprendizaje.,Educativo
El documento educativo número 32 presenta un estudio sobre la evaluación formativa y su impacto en el aprendizaje.,Educativo
El documento educativo número 33 presenta un estudio sobre la enseñanza de múltiples idiomas y su impacto en el aprendizaje.,Educativo
El documento educativo número 34 presenta un estudio sobre la enseñanza de múltiples idiomas y su impacto en el aprendizaje.,Educativo
El documento educativo número 35 presenta un estudio sobre la gestión de aula y su impacto en el aprendizaje.,Educativo
El documento educativo número 36 presenta un estudio sobre la planificación curricular y su impacto en el aprendizaje.,Educativo
El documento educativo número 37 presenta un estudio sobre las estrategias de pensamiento crítico y su impacto en el aprendizaje.,Educativo
El documento educativo número 38 presenta un estudio sobre la planificación curricular y su impacto en el aprendizaje.,Educativo
El documento educativo número 39 presenta un estudio sobre las prácticas de laboratorio y su impacto en el aprendizaje.,Educativo
El documento educativo número 40 presenta un estudio sobre los proyectos interdisciplinarios y su impacto en el aprendizaje.,Educativo
El documento educativo número 41 presenta un estudio sobre la gestión de aula y su impacto en el aprendizaje.,Educativo
El documento educativo número 42 presenta un estudio sobre la gamificación en clase y su impacto en el aprendizaje.,Educativo
El documento educativo número 43 presenta un estudio sobre las estrategias de pensamiento crítico y su impacto en el aprendizaje.,Educativo
El documento educativo número 44 presenta un estudio sobre la enseñanza de múltiples idiomas y su impacto en el aprendizaje.,Educativo
El documento educativo número 45 presenta un estudio sobre la inclusión educativa y su impacto en el aprendizaje.,Educativo
El documento educativo número 46 presenta un estudio sobre la evaluación formativa y su impacto en el aprendizaje.,Educativo
El documento educativo número 47 presenta un estudio sobre los proyectos interdisciplinarios y su impacto en el aprendizaje.,Educativo
El documento educativo número 48 presenta un estudio sobre las prácticas de laboratorio y su impacto en el aprendizaje.,Educativo
El documento educativo número 49 presenta un estudio sobre las prácticas de laboratorio y su impacto en el aprendizaje.,Educativo
El documento educativo número 50 presenta un estudio sobre la integración de TIC y su impacto en el aprendizaje.,Educativo
"El enfoque constructivista en la educación promueve el aprendizaje activo del estudiante a través de la exploración, el descubrimiento y la interacción social. Esta metodología fomenta el desarrollo del pensamiento crítico y la capacidad de resolver problemas en contextos reales, priorizando la comprensión por encima de la memorización",Educativo
"El enfoque constructivista en la educación promueve el aprendizaje activo del estudiante a través de la exploración, el descubrimiento y la interacción social. Esta metodología fomenta el desarrollo del pensamiento crítico y la capacidad de resolver problemas en contextos reales, priorizando la comprensión por encima de la memorización",Educativo
"CAPITULO 3
Educación para grupos étnicos
ARTICULO 55. Definición de etnoeducación. Se entiende por educación para grupos étnicos la que se ofrece a
grupos o comunidades que integran la nacionalidad y que poseen una cultura, una lengua, unas tradiciones y unos
fueros propios y autóctonos.
Esta educación debe estar ligada al ambiente, al proceso productivo, al proceso social y cultural, con el debido
respeto de sus creencias y tradiciones.
PARAGRAFO. En funcionamiento las entidades territoriales indígenas se asimilarán a los municipios para efectos
de la prestación del servicio público educativo, previo cumplimiento de los requisitos establecidos en la Ley 60 de
1993 y de conformidad con lo que disponga la ley de ordenamiento territorial.
ARTICULO 56. Principios y fines. La educación en los grupos étnicos estará orientada por los principios y fines
generales de la educación establecidos en la integralidad, interculturalidad, diversidad lingüística, participación
comunitaria, flexibilidad y progresividad. Tendrá como finalidad afianzar los procesos de identidad, conocimiento,
socialización, protección y uso adecuado de la naturaleza, sistemas y prácticas comunitarias de organización,
uso de las lenguas vernáculas, formación docente e investigación en todos los ámbitos de la cultura.
ARTICULO 57. Lengua materna. En sus respectivos territorios, la enseñanza de los grupos étnicos con tradición
lingüística, propia será bilingüe, tomando como fundamento escolar la lengua materna del respectivo grupo, sin
detrimento de lo dispuesto en el literal c) del artículo 21 de la presente Ley.
ARTICULO 58. Formación de educadores para grupos étnicos. El Estado promoverá y fomentará la formación de
educadores en el dominio de las culturas y lenguas de los grupos étnicos, así como programas sociales de
difusión de las mismas.
ARTICULO 59. Asesorías especializadas. El Gobierno Nacional a través del Ministerio de Educación Nacional y en
concertación con los grupos étnicos prestará asesoría especializada en el desarrollo curricular, en la elaboración
de textos y materiales educativos y en la ejecución de programas de investigación y capacitación etnolinguística.
ARTICULO 60. Intervención de organismos internacionales. No podrá haber injerencia de organismos
internacionales, públicos o privados en la educación de los grupos étnicos, sin la aprobación del Ministerio de
Educación Nacional y sin el consentimiento de las comunidades interesadas.
ARTICULO 61. Organizaciones educativas existentes. Las organizaciones de los grupos étnicos que al momento
de entrar en vigencia esta Ley se encuentren desarrollando programas o proyectos educativos, podrán continuar
dicha labor directamente o mediante convenio con el gobierno respectivo, en todo caso ajustados a los planes
educativos regionales y locales.
ARTICULO 62. Selección de educadores. Las autoridades competentes, en concertación con los grupos étnicos,
seleccionarán a los educadores que laboren en sus territorios, preferiblemente, entre los miembros de las
comunidades en ellas radicados. Dichos educadores deberán acreditar formación en etnoeducación, poseer
conocimientos básicos del respectivo grupo étnico, en especial de su lengua materna, además del castellano.
La vinculación, administración y formación de docentes para los grupos étnicos se efectuará de conformidad con el
estatuto docente y con las normas especiales vigentes aplicables a tales grupos.
El Ministerio de Educación Nacional, conjuntamente con las entidades territoriales y en concertación con las
autoridades y organizaciones de los grupos étnicos establecerá programas especiales para la formación y
profesionalización de etnoeducadores o adecuará los ya existentes, para dar cumplimiento a lo dispuesto en esta
ley y en la Ley 60 de 1993.
ARTICULO 63. Celebración de contratos. Cuando fuere necesaria la celebración de contratos para la prestación del
servicio educativo para las comunidades de los grupos étnicos, dichos contratos se ajustarán a los procesos,
principios y fines de la etnoeducación y su ejecución se hará en concertación con las autoridades de las entidades
territoriales indígenas y de los grupos étnicos.
CAPITULO 4
Educación campesina y rural
ARTICULO 64. Fomento de la educación campesina. Con el fin de hacer efectivos los propósitos de los artículos
64 y 65 de la Constitución Política, el Gobierno Nacional y las entidades territoriales promoverán un servicio de
educación campesina y rural, formal, no formal, e informal, con sujeción a los planes de desarrollo respectivos.
Este servicio comprenderá especialmente la formación técnica en actividades agrícolas, pecuarias, pesqueras,
forestales y agroindustriales que contribuyan a mejorar las condiciones humanas, de trabajo y la calidad de vida de
los campesinos y a incrementar la producción de alimentos en el país.
ARTICULO 65. Proyectos institucionales de educación campesina. Las secretarías de educación de las entidades
territoriales, o los organismos que hagan sus veces, en coordinación con las secretarías de Agricultura de las
mismas, orientarán el establecimiento de Proyectos Institucionales de Educación Campesina y Rural, ajustados a
las particularidades regionales y locales.
Los organismos oficiales que adelanten acciones en las zonas rurales del país estarán obligados a prestar
asesoría y apoyo a los proyectos institucionales.
ARTICULO 66. Servicio social en educación campesina. Los estudiantes de establecimientos de educación formal
en programas de carácter agropecuario, agroindustrial o ecológico prestarán el servicio social obligatorio
capacitando y asesorando a la población campesina de la región.
Las entidades encargadas de impulsar el desarrollo del agro colaborarán con dichos estudiantes para que la
prestación de su servicio sea eficiente y productiva.
ARTICULO 67. Granjas integrales. Según lo disponga el plan de desarrollo municipal o distrital, en los
corregimientos o inspecciones de policía funcionará una granja integral o una huerta escolar anexa a uno o varios
establecimientos educativos, en donde los educandos puedan desarrollar prácticas agropecuarias y de economía
solidaria o asociativa que mejoren su nivel alimentario y sirvan de apoyo para alcanzar la autosuficiencia del
establecimiento.
CAPITULO 5
Educación para la rehabilitación social
ARTICULO 68. Objeto y ámbito de la educación para la rehabilitación social. La educación para la rehabilitación
social comprende los programas educativos que se ofrecen a personas y grupos cuyo comportamiento individual y
social exige procesos educativos integrales que le permitan su reincorporación a la sociedad.
ARTICULO 69. Procesos pedagógicos. La educación para la rehabilitación social es parte integrante del servicio
educativo; comprende la educación formal, no formal e informal y requiere métodos didácticos, contenidos y
procesos pedagógicos acordes con la situación de los educandos.
PARAGRAFO. En el caso de los establecimientos carcelarios del país se debe tener en cuenta para los planes y
programas educativos, las políticas y orientaciones técnico-pedagógicas y administrativas del Instituto Nacional
Penitenciario y Carcelario, INPEC.
ARTICULO 70. Apoyo a la capacitación de docentes. En cumplimiento de lo establecido en los artículos 13 y 68
de la Constitución Política, es deber del Estado apoyar y fomentar las instituciones, programas y experiencias
dirigidos a formar docentes capacitados e idóneos para orientar la educación para la rehabilitación social, y así
garantizar la calidad del servicio para las personas que por sus condiciones las necesiten.
ARTICULO 71. Fomento de la educación para la rehabilitación social. Los Gobiernos Nacional y de las entidades
territoriales fomentarán la educación para la rehabilitación y reinserción de personas y de grupos sociales con
carencias y necesidades de formación. Lo harán con recursos de sus respectivos presupuestos, directamente y a
través de contratos con entidades privadas sin ánimo de lucro y de reconocida idoneidad.
",Educativo
". Plan Nacional de Desarrollo Educativo. El Ministerio de Educación Nacional, en coordinación con
las entidades territoriales, preparará por lo menos cada diez (10) años el Plan Nacional de Desarrollo Educativo
que incluirá las acciones correspondientes para dar cumplimiento a los mandatos constitucionales y legales sobre
la prestación del servicio educativo",Educativo
"El Sistema diseñará y aplicará criterios y procedimientos para evaluar la calidad de la enseñanza que se imparte,
el desempeño profesional del docente y de los docente directivos, los logros de los alumnos, la eficacia de los
métodos pedagógicos, de los textos y materiales empleados, la organización administrativa y física de las
instituciones educativas y la eficiencia de la prestación del servicio.
",Educativo
"PARAGRAFO. Las decisiones respecto a las solicitudes del personero de los estudiantes serán resueltas en
última instancia por el Consejo directivo el organismo que haga las veces de suprema autoridad del
establecimiento.",Educativo
